id,title,cast,crew,genres,keywords,vote_count,vote_average
20526,TRON: Legacy,"['Garrett Hedlund', 'Jeff Bridges', 'Olivia Wilde']",Director:Joseph Kosinski,"['Adventure', 'Action', 'Science Fiction']","['artificial intelligence', 'secret identity', 'computer program']",2841,6.3
20662,Robin Hood,"['Russell Crowe', 'Cate Blanchett', 'Max von Sydow']",Director:Ridley Scott,"['Action', 'Adventure']","['robin hood', 'archer', 'knight']",1398,6.2
24428,The Avengers,"['Robert Downey Jr.', 'Chris Evans', 'Mark Ruffalo']",Director:Joss Whedon,"['Science Fiction', 'Action', 'Adventure']","['new york', 'shield', 'marvel comic']",11776,7.4
27205,Inception,"['Leonardo DiCaprio', 'Joseph Gordon-Levitt', 'Ellen Page']",Director:Christopher Nolan,"['Action', 'Thriller', 'Science Fiction']","['loss of lover', 'dream', 'kidnapping']",13752,8.1
36668,X-Men: The Last Stand,"['Hugh Jackman', 'Halle Berry', 'Ian McKellen']",Director:Brett Ratner,"['Adventure', 'Action', 'Science Fiction']","['mutant', 'marvel comic', 'based on comic book']",3525,6.3
37724,Skyfall,"['Daniel Craig', 'Judi Dench', 'Javier Bardem']",Director:Sam Mendes,"['Action', 'Adventure', 'Thriller']","['spy', 'secret agent', 'sociopath']",7604,6.9
38356,Transformers: Dark of the Moon,"['Shia LaBeouf', 'John Malkovich', 'Ken Jeong']",Director:Michael Bay,"['Action', 'Science Fiction', 'Adventure']","['moon', 'spacecraft', 'traitor']",3299,6.1
38757,Tangled,"['Zachary Levi', 'Mandy Moore', 'Donna Murphy']",Director:Byron Howard,"['Animation', 'Family']","['hostage', 'magic', 'horse']",3330,7.4
41154,Men in Black 3,"['Will Smith', 'Tommy Lee Jones', 'Josh Brolin']",Director:Barry Sonnenfeld,"['Action', 'Comedy', 'Science Fiction']","['time travel', 'time machine', 'alien']",4160,6.2
44826,Hugo,"['Ben Kingsley', 'Sacha Baron Cohen', 'Asa Butterfield']",Director:Martin Scorsese,"['Adventure', 'Drama', 'Family']","['library', 'clock', 'film director']",2141,7.0
44833,Battleship,"['Taylor Kitsch', 'Alexander Skarsgård', 'Rihanna']",Director:Peter Berg,"['Thriller', 'Action', 'Adventure']","['fight', 'u.s. navy', 'mind reading']",2114,5.5
44912,Green Lantern,"['Ryan Reynolds', 'Blake Lively', 'Peter Sarsgaard']",Director:Martin Campbell,"['Adventure', 'Action', 'Thriller']","['dc comics', 'transformation', 'superhero']",2487,5.1
47933,Independence Day: Resurgence,"['Liam Hemsworth', 'Jeff Goldblum', 'Bill Pullman']",Director:Roland Emmerich,"['Action', 'Adventure', 'Science Fiction']","['alternate history', 'alien invasion']",2491,4.9
49013,Cars 2,"['Owen Wilson', 'Larry the Cable Guy', 'Michael Caine']",Director:John Lasseter,"['Animation', 'Family', 'Adventure']","['car race', 'sequel', 'comedy']",2033,5.8
49026,The Dark Knight Rises,"['Christian Bale', 'Michael Caine', 'Gary Oldman']",Director:Christopher Nolan,"['Action', 'Crime', 'Drama']","['dc comics', 'crime fighter', 'terrorist']",9106,7.6
49051,The Hobbit: An Unexpected Journey,"['Ian McKellen', 'Martin Freeman', 'Richard Armitage']",Director:Peter Jackson,"['Adventure', 'Fantasy', 'Action']","['riddle', 'elves', 'dwarves']",8297,7.0
49521,Man of Steel,"['Henry Cavill', 'Amy Adams', 'Michael Shannon']",Director:Zack Snyder,"['Action', 'Adventure', 'Fantasy']","['saving the world', 'dc comics', 'superhero']",6359,6.5
49529,John Carter,"['Taylor Kitsch', 'Lynn Collins', 'Samantha Morton']",Director:Andrew Stanton,"['Action', 'Adventure', 'Science Fiction']","['based on novel', 'mars', 'medallion']",2124,6.1
54138,Star Trek Into Darkness,"['Chris Pine', 'Zachary Quinto', 'Zoe Saldana']",Director:J.J. Abrams,"['Action', 'Adventure', 'Science Fiction']","['spacecraft', 'friendship', 'sequel']",4418,7.4
57158,The Hobbit: The Desolation of Smaug,"['Martin Freeman', 'Ian McKellen', 'Richard Armitage']",Director:Peter Jackson,"['Adventure', 'Fantasy']","['elves', 'dwarves', 'orcs']",4524,7.6
57201,The Lone Ranger,"['Johnny Depp', 'Armie Hammer', 'William Fichtner']",Director:Gore Verbinski,"['Action', 'Adventure', 'Western']","['texas', 'horse', 'survivor']",2311,5.9
58595,Snow White and the Huntsman,"['Kristen Stewart', 'Charlize Theron', 'Chris Hemsworth']",Director:Rupert Sanders,"['Adventure', 'Fantasy', 'Drama']","['queen', 'magic', 'fairy tale']",3118,5.8
62177,Brave,"['Kelly Macdonald', 'Julie Walters', 'Billy Connolly']",Director:Brenda Chapman,"['Animation', 'Adventure', 'Comedy']","['scotland', 'rebel', 'bravery']",4641,6.7
62211,Monsters University,"['Billy Crystal', 'John Goodman', 'Steve Buscemi']",Director:Dan Scanlon,"['Animation', 'Family']","['monster', 'dormitory', 'games']",3528,7.0
64682,The Great Gatsby,"['Leonardo DiCaprio', 'Tobey Maguire', 'Carey Mulligan']",Director:Baz Luhrmann,"['Drama', 'Romance']","['based on novel', 'infidelity', 'obsession']",3769,7.3
64686,47 Ronin,"['Keanu Reeves', 'Hiroyuki Sanada', 'Kou Shibasaki']",Director:Carl Rinsch,"['Drama', 'Action', 'Adventure']","['japan', 'suicide', 'samurai']",1326,5.9
68721,Iron Man 3,"['Robert Downey Jr.', 'Gwyneth Paltrow', 'Don Cheadle']",Director:Shane Black,"['Action', 'Adventure', 'Science Fiction']","['terrorist', 'war on terror', 'tennessee']",8806,6.8
68726,Pacific Rim,"['Idris Elba', 'Charlie Hunnam', 'Charlie Day']",Director:Guillermo del Toro,"['Action', 'Science Fiction', 'Adventure']","['dystopia', 'giant robot', 'giant monster']",4794,6.7
68728,Oz: The Great and Powerful,"['James Franco', 'Mila Kunis', 'Rachel Weisz']",Director:Sam Raimi,"['Fantasy', 'Adventure', 'Family']","['circus', 'witch', 'magic']",3530,5.7
72190,World War Z,"['Brad Pitt', 'Mireille Enos', 'Abigail Hargrove']",Director:Marc Forster,"['Action', 'Drama', 'Horror']","['dystopia', 'apocalypse', 'zombie']",5560,6.7
76757,Jupiter Ascending,"['Mila Kunis', 'Channing Tatum', 'Sean Bean']",Director:Lilly Wachowski,"['Science Fiction', 'Fantasy', 'Action']","['jupiter', 'space', 'woman director']",2768,5.2
79698,The Lovers,"['Josh Hartnett', 'Simone Kessell', 'Tamsin Egerton']",Director:Roland Joffé,"['Action', 'Adventure', 'Science Fiction']",[],34,4.8
81005,Jack the Giant Slayer,"['Nicholas Hoult', 'Eleanor Tomlinson', 'Ewan McGregor']",Director:Bryan Singer,"['Action', 'Family', 'Fantasy']","['based on fairy tale', 'giant']",2598,5.5
82690,Wreck-It Ralph,"['John C. Reilly', 'Sarah Silverman', 'Jack McBrayer']",Director:Rich Moore,"['Family', 'Animation', 'Comedy']","['support group', 'product placement', 'bullying']",4570,7.1
91314,Transformers: Age of Extinction,"['Mark Wahlberg', 'Stanley Tucci', 'Kelsey Grammer']",Director:Michael Bay,"['Science Fiction', 'Action', 'Adventure']","['sequel', 'alien', 'transformers']",3095,5.8
99861,Avengers: Age of Ultron,"['Robert Downey Jr.', 'Chris Hemsworth', 'Mark Ruffalo']",Director:Joss Whedon,"['Action', 'Adventure', 'Science Fiction']","['marvel comic', 'sequel', 'superhero']",6767,7.3
100402,Captain America: The Winter Soldier,"['Chris Evans', 'Samuel L. Jackson', 'Scarlett Johansson']",Director:Anthony Russo,"['Action', 'Adventure', 'Science Fiction']","['washington d.c.', 'future', 'shield']",5764,7.6
102382,The Amazing Spider-Man 2,"['Andrew Garfield', 'Emma Stone', 'Jamie Foxx']",Director:Marc Webb,"['Action', 'Adventure', 'Fantasy']","['obsession', 'marvel comic', 'sequel']",4179,6.5
102651,Maleficent,"['Angelina Jolie', 'Elle Fanning', 'Sharlto Copley']",Director:Robert Stromberg,"['Fantasy', 'Adventure', 'Action']","['fairy tale', 'villain', 'sleeping beauty']",4496,7.0
105864,The Good Dinosaur,"['Raymond Ochoa', 'Jack Bright', 'Jeffrey Wright']",Director:Peter Sohn,"['Adventure', 'Animation', 'Family']","['tyrannosaurus rex', 'friends', 'alternate history']",1736,6.6
118340,Guardians of the Galaxy,"['Chris Pratt', 'Zoe Saldana', 'Dave Bautista']",Director:James Gunn,"['Action', 'Science Fiction', 'Adventure']","['marvel comic', 'spaceship', 'space']",9742,7.9
119450,Dawn of the Planet of the Apes,"['Andy Serkis', 'Jason Clarke', 'Gary Oldman']",Director:Matt Reeves,"['Science Fiction', 'Action', 'Drama']","['leader', 'colony', 'post-apocalyptic']",4410,7.3
122917,The Hobbit: The Battle of the Five Armies,"['Martin Freeman', 'Ian McKellen', 'Richard Armitage']",Director:Peter Jackson,"['Action', 'Adventure', 'Fantasy']","['corruption', 'elves', 'dwarves']",4760,7.1
127585,X-Men: Days of Future Past,"['Hugh Jackman', 'James McAvoy', 'Michael Fassbender']",Director:Bryan Singer,"['Action', 'Adventure', 'Fantasy']","['1970s', 'mutant', 'time travel']",6032,7.5
135397,Jurassic World,"['Chris Pratt', 'Bryce Dallas Howard', 'Irrfan Khan']",Director:Colin Trevorrow,"['Action', 'Adventure', 'Science Fiction']","['monster', 'dna', 'tyrannosaurus rex']",8662,6.5
137113,Edge of Tomorrow,"['Tom Cruise', 'Emily Blunt', 'Brendan Gleeson']",Director:Doug Liman,"['Action', 'Science Fiction']","['deja vu', 'time warp', 'restart']",4858,7.6
150540,Inside Out,"['Amy Poehler', 'Phyllis Smith', 'Richard Kind']",Director:Pete Docter,"['Drama', 'Comedy', 'Animation']","['dream', 'cartoon', 'imaginary friend']",6560,8.0
157336,Interstellar,"['Matthew McConaughey', 'Jessica Chastain', 'Anne Hathaway']",Director:Christopher Nolan,"['Adventure', 'Drama', 'Science Fiction']","['saving the world', 'artificial intelligence', 'father son relationship']",10867,8.1
158852,Tomorrowland,"['Britt Robertson', 'George Clooney', 'Raffey Cassidy']",Director:Brad Bird,"['Adventure', 'Family', 'Mystery']","['inventor', 'apocalypse', 'destiny']",2846,6.2
168259,Furious 7,"['Vin Diesel', 'Paul Walker', 'Dwayne Johnson']",Director:James Wan,['Action'],"['car race', 'speed', 'revenge']",4176,7.3
177572,Big Hero 6,"['Scott Adsit', 'Ryan Potter', 'Daniel Henney']",Director:Chris Williams,"['Adventure', 'Family', 'Animation']","['brother brother relationship', 'hero', 'talent']",6135,7.8
188927,Star Trek Beyond,"['Chris Pine', 'Zachary Quinto', 'Karl Urban']",Director:Justin Lin,"['Action', 'Adventure', 'Science Fiction']","['sequel', 'stranded', 'hatred']",2568,6.6
206647,Spectre,"['Daniel Craig', 'Christoph Waltz', 'Léa Seydoux']",Director:Sam Mendes,"['Action', 'Adventure', 'Crime']","['spy', 'based on novel', 'secret agent']",4466,6.3
209112,Batman v Superman: Dawn of Justice,"['Ben Affleck', 'Henry Cavill', 'Gal Gadot']",Director:Zack Snyder,"['Action', 'Adventure', 'Fantasy']","['dc comics', 'vigilante', 'superhero']",7004,5.7
246655,X-Men: Apocalypse,"['James McAvoy', 'Michael Fassbender', 'Jennifer Lawrence']",Director:Bryan Singer,['Science Fiction'],"['mutant', 'supernatural powers', 'marvel comic']",4721,6.4
258489,The Legend of Tarzan,"['Alexander Skarsgård', 'Margot Robbie', 'Christoph Waltz']",Director:David Yates,"['Action', 'Adventure']","['africa', 'feral child', 'tarzan']",2430,5.5
271110,Captain America: Civil War,"['Chris Evans', 'Robert Downey Jr.', 'Scarlett Johansson']",Director:Anthony Russo,"['Adventure', 'Action', 'Science Fiction']","['civil war', 'war', 'marvel comic']",7241,7.1
278927,The Jungle Book,"['Neel Sethi', 'Bill Murray', 'Ben Kingsley']",Director:Jon Favreau,"['Family', 'Adventure', 'Drama']","['based on novel', 'snake', 'wolf']",2892,6.7
297761,Suicide Squad,"['Will Smith', 'Margot Robbie', 'Joel Kinnaman']",Director:David Ayer,"['Action', 'Adventure', 'Crime']","['dc comics', 'shared universe', 'anti hero']",7458,5.9
315011,Shin Godzilla,"['Hiroki Hasegawa', 'Yutaka Takenouchi', 'Satomi Ishihara']",Director:Hideaki Anno,"['Action', 'Adventure', 'Drama']","['monster', 'godzilla', 'giant monster']",143,6.5
