id,title,cast,crew,keywords,genres,vote_count,vote_average
27205,Inception,"['Leonardo DiCaprio', 'Joseph Gordon-Levitt', 'Ellen Page']",Director:Christopher Nolan,"['loss of lover', 'dream', 'kidnapping']","['Action', 'Thriller', 'Science Fiction']",13752,8.1
36668,X-Men: The Last Stand,"['Hugh Jackman', 'Halle Berry', 'Ian McKellen']",Director:Brett Ratner,"['mutant', 'marvel comic', 'based on comic book']","['Adventure', 'Action', 'Science Fiction']",3525,6.3
37724,Skyfall,"['Daniel Craig', 'Judi Dench', 'Javier Bardem']",Director:Sam Mendes,"['spy', 'secret agent', 'sociopath']","['Action', 'Adventure', 'Thriller']",7604,6.9
38356,Transformers: Dark of the Moon,"['Shia LaBeouf', 'John Malkovich', 'Ken Jeong']",Director:Michael Bay,"['moon', 'spacecraft', 'traitor']","['Action', 'Science Fiction', 'Adventure']",3299,6.1
38757,Tangled,"['Zachary Levi', 'Mandy Moore', 'Donna Murphy']",Director:Byron Howard,"['hostage', 'magic', 'horse']","['Animation', 'Family']",3330,7.4
41154,Men in Black 3,"['Will Smith', 'Tommy Lee Jones', 'Josh Brolin']",Director:Barry Sonnenfeld,"['time travel', 'time machine', 'alien']","['Action', 'Comedy', 'Science Fiction']",4160,6.2
44826,Hugo,"['Ben Kingsley', 'Sacha Baron Cohen', 'Asa Butterfield']",Director:Martin Scorsese,"['library', 'clock', 'film director']","['Adventure', 'Drama', 'Family']",2141,7.0
44833,Battleship,"['Taylor Kitsch', 'Alexander Skarsgård', 'Rihanna']",Director:Peter Berg,"['fight', 'u.s. navy', 'mind reading']","['Thriller', 'Action', 'Adventure']",2114,5.5
44912,Green Lantern,"['Ryan Reynolds', 'Blake Lively', 'Peter Sarsgaard']",Director:Martin Campbell,"['dc comics', 'transformation', 'superhero']","['Adventure', 'Action', 'Thriller']",2487,5.1
47933,Independence Day: Resurgence,"['Liam Hemsworth', 'Jeff Goldblum', 'Bill Pullman']",Director:Roland Emmerich,"['alternate history', 'alien invasion']","['Action', 'Adventure', 'Science Fiction']",2491,4.9
49013,Cars 2,"['Owen Wilson', 'Larry the Cable Guy', 'Michael Caine']",Director:John Lasseter,"['car race', 'sequel', 'comedy']","['Animation', 'Family', 'Adventure']",2033,5.8
49026,The Dark Knight Rises,"['Christian Bale', 'Michael Caine', 'Gary Oldman']",Director:Christopher Nolan,"['dc comics', 'crime fighter', 'terrorist']","['Action', 'Crime', 'Drama']",9106,7.6
49051,The Hobbit: An Unexpected Journey,"['Ian McKellen', 'Martin Freeman', 'Richard Armitage']",Director:Peter Jackson,"['riddle', 'elves', 'dwarves']","['Adventure', 'Fantasy', 'Action']",8297,7.0
49521,Man of Steel,"['Henry Cavill', 'Amy Adams', 'Michael Shannon']",Director:Zack Snyder,"['saving the world', 'dc comics', 'superhero']","['Action', 'Adventure', 'Fantasy']",6359,6.5
49529,John Carter,"['Taylor Kitsch', 'Lynn Collins', 'Samantha Morton']",Director:Andrew Stanton,"['based on novel', 'mars', 'medallion']","['Action', 'Adventure', 'Science Fiction']",2124,6.1
54138,Star Trek Into Darkness,"['Chris Pine', 'Zachary Quinto', 'Zoe Saldana']",Director:J.J. Abrams,"['spacecraft', 'friendship', 'sequel']","['Action', 'Adventure', 'Science Fiction']",4418,7.4
57158,The Hobbit: The Desolation of Smaug,"['Martin Freeman', 'Ian McKellen', 'Richard Armitage']",Director:Peter Jackson,"['elves', 'dwarves', 'orcs']","['Adventure', 'Fantasy']",4524,7.6
57201,The Lone Ranger,"['Johnny Depp', 'Armie Hammer', 'William Fichtner']",Director:Gore Verbinski,"['texas', 'horse', 'survivor']","['Action', 'Adventure', 'Western']",2311,5.9
58595,Snow White and the Huntsman,"['Kristen Stewart', 'Charlize Theron', 'Chris Hemsworth']",Director:Rupert Sanders,"['queen', 'magic', 'fairy tale']","['Adventure', 'Fantasy', 'Drama']",3118,5.8
62177,Brave,"['Kelly Macdonald', 'Julie Walters', 'Billy Connolly']",Director:Brenda Chapman,"['scotland', 'rebel', 'bravery']","['Animation', 'Adventure', 'Comedy']",4641,6.7
62211,Monsters University,"['Billy Crystal', 'John Goodman', 'Steve Buscemi']",Director:Dan Scanlon,"['monster', 'dormitory', 'games']","['Animation', 'Family']",3528,7.0
64682,The Great Gatsby,"['Leonardo DiCaprio', 'Tobey Maguire', 'Carey Mulligan']",Director:Baz Luhrmann,"['based on novel', 'infidelity', 'obsession']","['Drama', 'Romance']",3769,7.3
64686,47 Ronin,"['Keanu Reeves', 'Hiroyuki Sanada', 'Kou Shibasaki']",Director:Carl Rinsch,"['japan', 'suicide', 'samurai']","['Drama', 'Action', 'Adventure']",1326,5.9
68721,Iron Man 3,"['Robert Downey Jr.', 'Gwyneth Paltrow', 'Don Cheadle']",Director:Shane Black,"['terrorist', 'war on terror', 'tennessee']","['Action', 'Adventure', 'Science Fiction']",8806,6.8
68726,Pacific Rim,"['Idris Elba', 'Charlie Hunnam', 'Charlie Day']",Director:Guillermo del Toro,"['dystopia', 'giant robot', 'giant monster']","['Action', 'Science Fiction', 'Adventure']",4794,6.7
68728,Oz: The Great and Powerful,"['James Franco', 'Mila Kunis', 'Rachel Weisz']",Director:Sam Raimi,"['circus', 'witch', 'magic']","['Fantasy', 'Adventure', 'Family']",3530,5.7
72190,World War Z,"['Brad Pitt', 'Mireille Enos', 'Abigail Hargrove']",Director:Marc Forster,"['dystopia', 'apocalypse', 'zombie']","['Action', 'Drama', 'Horror']",5560,6.7
76757,Jupiter Ascending,"['Mila Kunis', 'Channing Tatum', 'Sean Bean']",Director:Lilly Wachowski,"['jupiter', 'space', 'woman director']","['Science Fiction', 'Fantasy', 'Action']",2768,5.2
79698,The Lovers,"['Josh Hartnett', 'Simone Kessell', 'Tamsin Egerton']",Director:Roland Joffé,[],"['Action', 'Adventure', 'Science Fiction']",34,4.8
81005,Jack the Giant Slayer,"['Nicholas Hoult', 'Eleanor Tomlinson', 'Ewan McGregor']",Director:Bryan Singer,"['based on fairy tale', 'giant']","['Action', 'Family', 'Fantasy']",2598,5.5
82690,Wreck-It Ralph,"['John C. Reilly', 'Sarah Silverman', 'Jack McBrayer']",Director:Rich Moore,"['support group', 'product placement', 'bullying']","['Family', 'Animation', 'Comedy']",4570,7.1
91314,Transformers: Age of Extinction,"['Mark Wahlberg', 'Stanley Tucci', 'Kelsey Grammer']",Director:Michael Bay,"['sequel', 'alien', 'transformers']","['Science Fiction', 'Action', 'Adventure']",3095,5.8
99861,Avengers: Age of Ultron,"['Robert Downey Jr.', 'Chris Hemsworth', 'Mark Ruffalo']",Director:Joss Whedon,"['marvel comic', 'sequel', 'superhero']","['Action', 'Adventure', 'Science Fiction']",6767,7.3
100402,Captain America: The Winter Soldier,"['Chris Evans', 'Samuel L. Jackson', 'Scarlett Johansson']",Director:Anthony Russo,"['washington d.c.', 'future', 'shield']","['Action', 'Adventure', 'Science Fiction']",5764,7.6
102382,The Amazing Spider-Man 2,"['Andrew Garfield', 'Emma Stone', 'Jamie Foxx']",Director:Marc Webb,"['obsession', 'marvel comic', 'sequel']","['Action', 'Adventure', 'Fantasy']",4179,6.5
102651,Maleficent,"['Angelina Jolie', 'Elle Fanning', 'Sharlto Copley']",Director:Robert Stromberg,"['fairy tale', 'villain', 'sleeping beauty']","['Fantasy', 'Adventure', 'Action']",4496,7.0
105864,The Good Dinosaur,"['Raymond Ochoa', 'Jack Bright', 'Jeffrey Wright']",Director:Peter Sohn,"['tyrannosaurus rex', 'friends', 'alternate history']","['Adventure', 'Animation', 'Family']",1736,6.6
118340,Guardians of the Galaxy,"['Chris Pratt', 'Zoe Saldana', 'Dave Bautista']",Director:James Gunn,"['marvel comic', 'spaceship', 'space']","['Action', 'Science Fiction', 'Adventure']",9742,7.9
119450,Dawn of the Planet of the Apes,"['Andy Serkis', 'Jason Clarke', 'Gary Oldman']",Director:Matt Reeves,"['leader', 'colony', 'post-apocalyptic']","['Science Fiction', 'Action', 'Drama']",4410,7.3
122917,The Hobbit: The Battle of the Five Armies,"['Martin Freeman', 'Ian McKellen', 'Richard Armitage']",Director:Peter Jackson,"['corruption', 'elves', 'dwarves']","['Action', 'Adventure', 'Fantasy']",4760,7.1
127585,X-Men: Days of Future Past,"['Hugh Jackman', 'James McAvoy', 'Michael Fassbender']",Director:Bryan Singer,"['1970s', 'mutant', 'time travel']","['Action', 'Adventure', 'Fantasy']",6032,7.5
135397,Jurassic World,"['Chris Pratt', 'Bryce Dallas Howard', 'Irrfan Khan']",Director:Colin Trevorrow,"['monster', 'dna', 'tyrannosaurus rex']","['Action', 'Adventure', 'Science Fiction']",8662,6.5
137113,Edge of Tomorrow,"['Tom Cruise', 'Emily Blunt', 'Brendan Gleeson']",Director:Doug Liman,"['deja vu', 'time warp', 'restart']","['Action', 'Science Fiction']",4858,7.6
150540,Inside Out,"['Amy Poehler', 'Phyllis Smith', 'Richard Kind']",Director:Pete Docter,"['dream', 'cartoon', 'imaginary friend']","['Drama', 'Comedy', 'Animation']",6560,8.0
157336,Interstellar,"['Matthew McConaughey', 'Jessica Chastain', 'Anne Hathaway']",Director:Christopher Nolan,"['saving the world', 'artificial intelligence', 'father son relationship']","['Adventure', 'Drama', 'Science Fiction']",10867,8.1
158852,Tomorrowland,"['Britt Robertson', 'George Clooney', 'Raffey Cassidy']",Director:Brad Bird,"['inventor', 'apocalypse', 'destiny']","['Adventure', 'Family', 'Mystery']",2846,6.2
168259,Furious 7,"['Vin Diesel', 'Paul Walker', 'Dwayne Johnson']",Director:James Wan,"['car race', 'speed', 'revenge']",['Action'],4176,7.3
177572,Big Hero 6,"['Scott Adsit', 'Ryan Potter', 'Daniel Henney']",Director:Chris Williams,"['brother brother relationship', 'hero', 'talent']","['Adventure', 'Family', 'Animation']",6135,7.8
188927,Star Trek Beyond,"['Chris Pine', 'Zachary Quinto', 'Karl Urban']",Director:Justin Lin,"['sequel', 'stranded', 'hatred']","['Action', 'Adventure', 'Science Fiction']",2568,6.6
206647,Spectre,"['Daniel Craig', 'Christoph Waltz', 'Léa Seydoux']",Director:Sam Mendes,"['spy', 'based on novel', 'secret agent']","['Action', 'Adventure', 'Crime']",4466,6.3
209112,Batman v Superman: Dawn of Justice,"['Ben Affleck', 'Henry Cavill', 'Gal Gadot']",Director:Zack Snyder,"['dc comics', 'vigilante', 'superhero']","['Action', 'Adventure', 'Fantasy']",7004,5.7
246655,X-Men: Apocalypse,"['James McAvoy', 'Michael Fassbender', 'Jennifer Lawrence']",Director:Bryan Singer,"['mutant', 'supernatural powers', 'marvel comic']",['Science Fiction'],4721,6.4
258489,The Legend of Tarzan,"['Alexander Skarsgård', 'Margot Robbie', 'Christoph Waltz']",Director:David Yates,"['africa', 'feral child', 'tarzan']","['Action', 'Adventure']",2430,5.5
271110,Captain America: Civil War,"['Chris Evans', 'Robert Downey Jr.', 'Scarlett Johansson']",Director:Anthony Russo,"['civil war', 'war', 'marvel comic']","['Adventure', 'Action', 'Science Fiction']",7241,7.1
278927,The Jungle Book,"['Neel Sethi', 'Bill Murray', 'Ben Kingsley']",Director:Jon Favreau,"['based on novel', 'snake', 'wolf']","['Family', 'Adventure', 'Drama']",2892,6.7
297761,Suicide Squad,"['Will Smith', 'Margot Robbie', 'Joel Kinnaman']",Director:David Ayer,"['dc comics', 'shared universe', 'anti hero']","['Action', 'Adventure', 'Crime']",7458,5.9
315011,Shin Godzilla,"['Hiroki Hasegawa', 'Yutaka Takenouchi', 'Satomi Ishihara']",Director:Hideaki Anno,"['monster', 'godzilla', 'giant monster']","['Action', 'Adventure', 'Drama']",143,6.5
